id,route_id,distance_value,polyline_points,created_at,updated_at
998,2,89,"ejerEku_wXh@dAXv@Rd@","2022-04-11 02:21:58","2022-04-11 02:21:58"
999,2,98,"mgerEgp_wXd@u@JODGFIHGLKJEDADAVG","2022-04-11 02:21:58","2022-04-11 02:21:58"
1000,2,1368,"ecerEet_wX@o@@KBIFMNYBEj@aALS`@s@FIZe@@CBCNOHMx@aANOJMJK@?PSTUFGDEV[HIHILMHGHEZQVKh@O`@MDCnBm@v@Wt@W\KdA_@PGZIv@W|@YbA]RIl@W\S`@WRMZW`@Yb@_@r@g@XSBE|@m@l@c@l@c@RKZQ^Ud@YHGFEVOZSDGHGLOHKLQP[V_@JMNQ@ALMZ[FUFODKDI","2022-04-11 02:21:58","2022-04-11 02:21:58"
1001,2,940,"eecrE}fawXlAeAFEh@e@`@YDE\YBANONMPUd@q@^i@Xi@@CDKDGBGPa@Vm@FSJ[DSBK@I?E?M@O@MBOB[@O@K?OASAOAMCOI[Os@I]Mm@EQAKCO@S?K@MBOBMBMBKDI?ADIDENQRSHIHEFEHCHCLAj@I^CVGd@Mj@Yf@UDCdAi@~@g@j@WHEFA","2022-04-11 02:21:58","2022-04-11 02:21:58"
1002,2,868,"ugbrEwqbwX@AFAFCPALA^@hA@dECz@A~BCp@Cp@AhAEx@G`AK\ELATCHAD?NCj@Ep@GNC`AI|@GpAKTCLAFCVERCTG\G^MLEZMFCDADAD?D?D?F@H@PB","2022-04-11 02:22:29","2022-04-11 02:22:29"
1003,2,30527,"kw`rEqwbwXNQRUb@_@VKr@[FCHCjAa@JERGt@U\K`@KTEPENCTCj@GTAd@Cj@?b@@Z@R@VBPBl@JJBB?l@Nj@P`A`@j@Zx@f@^R\Xt@h@NJjBtAr@h@lA`ApAnAbE|DxBjBfDhCjBvAz@n@RP\XZXhEhDx@l@@@ZTt@j@l@d@~@x@b@^b@d@LJDD|A~Av@t@fA`ABBXTjBbBJH\ZNPVV`A~@`A~@LLPPr@r@d@d@d@h@d@f@@Br@t@b@f@RRTTv@x@j@h@p@r@JJFFPPRRNPTTXZBBX\n@r@DDZ\b@f@LLJPDDTXh@n@LLvAbBFFZb@h@n@\d@RXT`@V^NXNTHRFJFNJVDHJXHTFRHVJ\HXBJH\BHFXRz@Jd@Hd@PbAJj@F`@NdANdAF\Lr@Ln@Jd@Nn@DNNl@DRJXJ^Ld@FLDP^fADRHPFPBDDLN^NVNVFJJLDFJJVXHHLJNL\VRNh@b@l@b@JJt@j@r@l@DB\XLJTTHHFFRTBBHHHJFJHJLPR\NPb@l@PTdAfATTvAjAz@p@\XVRt@h@v@f@p@b@d@Xl@\HFLFLHNHLFFBDBLFPFVJ^Jb@JLBPB\HVBNBfAPjANb@HD?F@JBRFTDD@b@JZF\JVF\JRFTHTHTHJFj@TdAf@NFd@Tf@RRJf@Rh@Rl@RNDB@PFVFTF\HVDd@Jf@Hb@Hd@Hn@LNBpB^L@`APz@Lh@JhARZF`@H`@F`@Hl@JD@@?ZF`@Hh@Jb@Hn@JB@D@\D@?d@JRB\D^DZDVBX@\BZ@J@V?N?P@\?X?R?RAH?F?JAVAPCD?PAZCPCPALCRCTC^CJATC`@Cf@EVAf@CN?HAP?Z?XAh@@x@@d@@V@ZBR@|ALF?rBNdBLtCTF?n@D\D|AJZBlAHJ@vBPjAHR@TBpANt@LrAXx@Vb@NJDJBVHTHTJl@Tl@T\N\Lp@Xb@Pb@Pd@P@?ZLZLXLNFTFv@Z^NZLDBn@Tr@X|Bz@FBl@TTH@@RFTFNDNDH@F@TDPDdAJj@BdABf@@bAFP@ZD`@FPBRFLDZJVHTHXLZRz@d@FFPJLLLJPPPNRRRVJH|AbBpAtAh@l@^`@DFTRl@p@jBpBX\XXv@z@\^^b@DDp@v@b@h@\`@LLRTBDDDBDBBHJv@~@`@d@f@h@NLDDPNVPFDFDLHHFJDRJZLNHTJh@Tt@Zr@XPHDBx@\d@RPH^Np@X`A`@FBFBRFJDFBHBPFTF`@Hd@HF@PBRBLB\BB@H?bADXBZB^@H@N@J?h@DZB^DN@ZDl@Hd@J^HB?\HD@nAXRDHBtAXH@TFJBHBVH`@NTHPHLDHDTL@?JFNH@@LHLHNJXTRPHHVTRRLLb@b@HJPRTV@BNTJNHLFJHNJRJVFLN^FL@BBFBFDFDJFJFHDFBDBDBB@BBDDDDFFFFFHHz@v@\XfA`ARPPPPP^\PPPPPN^b@JJLNJLLPDHDFHPFLDLJVHZBJBHDT@DDTDXJl@H\BNDTJd@Nj@BFLb@FTFNFPb@vAb@tAt@~BDNNd@DNDLDHDHDJBDBDLRDFBB@BDFFFDDDF\b@Z\JL\f@TZ@@TZFLFFDHBHFLHRJR^fA`@lAh@`Bh@xALb@L^\bAHVVz@FTH\?BFZDR@B@J@H@BBNFh@TnBDRFf@F^BNBPDNBLDHBHDFDLDFDFBFBBHLBBBDXZLJHHFFHHj@j@h@f@VTZZVTNLPNRPTPd@\XR@@XR@@RJ\TLFVPXNbAh@j@Xn@ZXPXLn@\@?r@^^RNHRLLJHDDDDBJJLHHHFDJJFFDDDDDDBBJJDFJJHJJNLNHLDFd@r@JLNTZb@BDFHBBLNFDBBBDB@BBBBD@B@BBB@B@B@B@B@B?@@D@HBPD\HPDPBLDLBLDPDHDFBDBD@@@HDDDFDFDDDDDDB?@DDDDHJPZDHBBHPJPLTr@rALR@BJNHLLNDFRT\\TNZVbAv@VRRPRNTR^X|@p@HH\VHFPJLHFDFDJF@@PJLFNHLFVHLDPFzBh@z@RXHdAV`@Jf@LF@\JNFLFLHHDJFPNRP^^\\PPLLHFFFB@HFLHLFHBD@h@Rt@Rb@HPDF@B@JDFBD@BBB@PJBBB@BB@@FFJJFFRTHHFFLNBBX\LNJLJJTZ@?JLLJVVJJLLJJHFLLRRFDBDHF@BDBFFJHHHJHJFRPVPHHTLb@Z^RJHp@b@NHFDJFNHPJPL\VJHLHl@d@\VPLDFTPDDVRHHLJBBLJNL@@JFDDFDTPLJf@^BBXTZVPNDDRVBDDFBBDFBFBF@@DHBFDH@D@@@FBHBJBHBHBLBPHb@DZF^DTDVDVBLBH@FBF@D@FBFDLFRJXFPDFHRh@pAf@hAjArC\r@JT`@dA\v@Xp@BHBFJR\x@@DBD?@JTBD@DBDJRLVR^HNJNDHDHHJFHTXNRtArA?@tAnAFDFDJDBBZPTNHDb@R`@TD@^Rj@ZNHpAr@ZPfB~@ZNTLdB|@NHPJl@ZpAr@ZPDBB@^RRLl@^HFh@Zf@^b@\DDLHHFPPHF\ZVVRTBBBBVXT\HHFHLRJNPVHPPVJRP\FLBDBFFLJVLV?@JZL\HTL\@DBHBLNj@BJBFFV\~A@B`@vBn@fDd@|B@H@Ff@hC@F\fBBF@Hj@rC\bB?BXpADXJ^Jb@JZRl@@Db@|@^l@HJLN\`@p@j@VNVN`@Rb@Rp@VPHFBhAb@zAh@VLPFFDB@@@LDVPTNVRJJVVLNFFV\HJHLPXd@t@RZd@r@DFj@z@NRHLFFDHLPHJ?@JHVVNNNNLHTPBBLFJHZPl@THDJBJDD@D@RDTFx@Nb@Hx@LH@tB^`BVJBd@FTDJB|@XZNXNDBLHf@^fAx@XTnA`A@@PNB@^ZhA|@PLrAdAv@j@z@p@`BnAbCfBFDpA`A\VHD`@ZJHr@h@\XJHBBLJPN@@lAhATRLJhAfAf@b@NNd@`@n@p@RRv@t@jAlAp@p@VT`@Z`@XNLn@`@n@d@@@VN`BjAHFdAt@\TFD~@n@@@LFf@\HFv@j@d@^ZRXTB@JHPJHDJHFBDB@@B?FBPHLBPBPBF?D@V?P@P?d@BD?H?J@D?TDLDLDHBJDJDHDJHB@DDRPd@f@n@r@PRTVTTPR\^LLDBFHJJX^x@|@\\BBTRJL`@b@PP^\d@`@VXLJHFLJ^\DB^X?@ZVDD^Zn@f@XVHDp@j@j@d@l@f@XVNLDDTR^Xj@f@nB`BZXPNbBvAhA`AbAz@v@n@NNDBFDDBHBHDLD@?JBLBN@L@J?L?DADAH?FCFATGJGZMTGRGLCFCH?HAJAJ?N?N@N@NBLBLDLDNFFDB@FDJFLJRP^^NNXZ?@VVb@f@l@r@~AfB`@^XXHFFDNNNJLHn@\BBRJRHj@T\JRDHBFB~@NNBdBZt@HVDTDJ@b@Bv@Dn@Bp@BV?H?H?b@Aj@Ax@C~@Cz@Cv@Cj@EvBMJ?x@Ef@CH?^CP?HALANCJAFADAHAFEd@KRGh@SRKTKNKHGLIFEJILKJMHGJMNODGFG\]r@u@BCDENODEBGFGDGBCBCHKPWXe@FKDGl@cANUJKPQHIHGBCZQNIVKb@MZITGNENCNCJATAX@L@J@JBRFLBp@Vl@Vx@b@XJn@VRDXFVF`APn@Hb@JZHn@PXJTFv@VB@XHVHJBPDF@F@FBF@F@L@F@RBv@Fn@DXBJBL@RFRFRHPHTJ\T^XTNVPDB\T|@j@fAp@XPXPJFHDJDf@RPHPF^Jp@PdAVD@bB^bAN@@\DPBP@L@L@L@T@\@vABD?v@?z@@V?VAPCLAJCNE\IVGJCXI^OVIPGLEFAJCHALANAPAN?V@l@Dn@Dh@FTBZD\DFBRDb@NJBd@NNFVH`@H\FN@NBpALH@T@XBl@FF?f@Fb@BD@P@J@XBB?H@L@X@^@J?JAN?JA@?LAF?FANCNCLCJC\IFA`@KJAf@MB?REXG\GNCj@IHAf@Id@Ip@I`@EfAOjAOlAO~@M|@KJCNAHAv@Kr@KhAMRCZE\ENCJAXEZE^E`@GfAMBAnAK@?`@Ed@EJAXAPATALATCLAtAORCF?ZCF?L?D?H@L@PBJBLD^JXJ`@JNDJ@VDTB@?R@N@L?J?XAPAb@CRAh@EPCZC|@GH?tAKRAVA`@EHAb@GXGJCHAJEp@Sb@Mf@Oj@URGLGHCHGNKFEDEHILKBCb@g@f@m@PSHIJIPKFCFEHCHEJCJCFAL?HAJAH@T@N@HBVFPFJFJFRP\ZNLRRLJFFJFFDLDLBLBF@N@L?N?ZEj@I^GNCjAQj@Kb@G^GFAt@KVE|@OZGFAZEBA`@Ev@IZE\ETE@?PEp@MRERCLALAHAVAPAV?RAt@@^@\@XBJ@L@LBLDLDLDPJFDDDLLHLFHDJFLDJDPDPDf@Fh@BX@NDPBJBHDLDH?@BDHLFJLLHHHFFDFDJDFBH@HBD?TB^Dx@HhAL`@DZD\D\HXF@?NBJ@P@J@L?LAf@CNCPCREZGd@MRGNEFAh@KZIXILEVGZKRGXIPGl@M\GLCRCP?D?H?N@N@NDTFPFVLNHZRb@ZLFFBHBHBJ@VDf@D`@BP@P@V?p@BH?F@V@T?F?DAJADAD?BAPGFCXMHCLELEPCDAFARC^E^CXCLAH?@?F?F?F?L@J@HBF@FBDBB@DBDBFDDBDDFFHHFJDDBBFJVZDFFFDBBBDBFDJD\N^PVJVJd@PTHB@PFPFD@B@D@BBB@BBBBDDDFBDBFBFFNJVFPDJDHBBBDBDHFFBDBDBPFF@n@N`@HDBZBB?L@H@F?B?R?LAR?J?RANADAdAEdAE","2022-04-11 02:22:29","2022-04-11 02:22:29"
1004,2,363,"_ktpEwiivX?U?I@I@MBIBGDIDILMVULMFERQHGx@o@LIROROVQXSPM^Wl@a@FEFCLIPKh@WBCJEPIHE","2022-04-11 02:22:53","2022-04-11 02:22:53"
1005,2,503,"e{spEaxivXf@Un@Yh@WBAf@Ub@U`@QHEJGPIXMRIXKRIXI\Kl@MJCr@OZIJCdAW\ORI^Y@?LKLMVW`@c@","2022-04-11 02:22:53","2022-04-11 02:22:53"
1006,2,10280,"oaspEwejvXbAcAVW@AHIb@c@NSHKRSZ[PSFGJKRUPODEPQPSHGFI^_@PQNONOJKLM@ATULMRUFGRSFITUVYRURSNOLORSJMFG@CPO`@c@JMFG\a@BCRUDMDQ@KDQDMBIHKFKJMPUNUDEDGJMNSPU?APWFKHM?ADIBG@EDMDSDS@O@E?G@K?C@YB_@?ABe@Bk@@Y?O?I?MAS?G?QAS?IAQAUAKCMAMACAGE]Kk@Ik@Km@G_@CQEOCKAAGUMa@K[IYEOESAIAECUOaAKk@Iq@Ga@Ea@CW?S?O@UDo@De@BY@YBUDg@@SBSBSBMBUDSD[FUDQFQHODKFIHGFGJGLGZKf@MVKVMJIFERWJOJMLSPWPUJKHGPQPM@A@?PK^QNIPIb@Sd@W\Qr@a@NIXK^KHAJ?H?J?N?R@T?P@P?H?F@D?FADAJCHCBA@A@?F?D?D@B?DBJDJFNHHFNFHBFBD?D@H@L?L?H?DBD@DDFDBBBD?@BB@BBFBH@@BJDH?@BFBFDFHHLJXTNLFDFDHDDBJDB@D@DBH@JBB@FBb@Jf@Jl@NNDl@NF@B?d@L@?JBRDXHRDZH\FB@@?HBN@VB@@L@JB@@J@ZHXFRDJBd@HH@XFB@B?HBVDTBB?H@L?F?F?RAH?^AT?VAJ?d@Cf@EPABAPCXEd@Ih@Mh@MLEDATETG@ANEZKPGDC\MXMHEl@WXOXKXOPILIHGFGBARUPQPQNONO@AJKLMLOZ[TSXYDEFGXWXYPOPQNODGPORSBAFGLM\]DCRQPS@?FILMHIFKDGDIFIJSLWJWL[LYHS@CHS@ADEZ_@bAgAPOJKBC\YJIDCLKJKNKTOLIHEJCBA@?JA@APA@?L?DATA`@A^CLAlBMXCJAb@C\AP?N?NBJ@PBD@NDRDPDLBL@PBXBX@H?J@JANA`@CJAH?HALAh@Eb@CTALAB?j@ENARCNARCLAJAFAHAFAFAFADAHAHCDADAFCBABADCLGPIVKFELGDCJEDADAFABAJCJAJCJAZEh@IXEJAZGNAZGNCPCLCJAPEHAPENENCLCNEPEPCLCPEZGNELCLCPENCHCNEFADCFCDABADCDCHGHGPMXUnAcA`A{@\]b@g@TSPSVY~@cARUv@y@dAkAvA{A~AcBNQ~DkF|@kA~@oADELQl@{@RYPWBEJMXc@Zc@n@}@p@_A|@oAl@}@Zc@HMXa@\y@Pa@Vs@xAuDl@_BFOVo@L[FOJYH]DMNs@Lm@@QBa@@a@@]?U?[?SAcA?O?O@O@YBQ@I@OD[Ha@DOFYDQLa@FSd@oAVq@JWFQJUTe@f@sAVk@LUb@u@NY@ADGHGDEDAFGr@u@XWPOf@i@HKX[^e@LOHIRW`@m@~@}A^o@b@s@`@s@r@wAFQLWTa@^{@P]\u@N[HQDI\s@h@gAN]h@oAHQHUFQJUNk@JYJWDIDIDEBEBCHIFEHEFELGREJE`@IXG`@IDAv@Sd@MTGHC\I\Kf@OJCFCTGBA`@M`@MLERGRILE^O^M@?~@]TIHCXKHCFCNEHAJCFABAFANCVETCb@Ef@ENA\ETCHAHCDAHCPIJEJI@?NKNKRKVQHGz@k@^UHE^O^O@?NEFANGtBq@v@WLCdA_@TG^MFC|@Yb@ITI@?XGDAVEDAFCZKLETIVIB?PCJAF@H?H@LBPLLH^b@f@l@RVjAKFATCf@G@?`@GTCL?@?L@H?HBHBD@@@DBHBLH`@XTLZLD@PDD@b@FZDJBB?B?D?J?L?TAJ?B?LAHC@?JE\QDAFAL?T?P@J?V?H?B?BADAXGb@I\IPEHAJ?@?J?d@C\?f@AlAGXAB?VCH?FAHALCFADCFE@AHEPKDEFEFAHCFCHAHAF?L@VB@?VDJB@?LBF@B?B?DAB?DCDCDANGRGBAd@ILAF?F?B@H@b@TB@BBD@D@F?@?H?LCF?HCFCPGNGJE@AXOJGFGDGDEBEDEBABCDADCFA@?F?LA","2022-04-11 02:22:53","2022-04-11 02:22:53"
1007,2,57,"uuepEeatvXB_A?E@C?C@A@ABAZB","2022-04-11 02:22:53","2022-04-11 02:22:53"
